date,station,entrances,exits
2025-06-08,96 St,19889,19297
2025-06-08,86 St,16837,15264
2025-06-08,72 St,12452,12771
2025-06-08,66 St-Lincoln Center,13587,13247
2025-06-08,50 St,18671,18151
2025-06-08,28 St,11463,11876
2025-06-08,23 St,6919,7591
2025-06-08,Christopher St,11081,11074
2025-06-08,Houston St,19220,19538
2025-06-08,Spring St,12639,12093
2025-06-08,Chambers St,14750,14704
2025-06-08,Wall St,11433,11232
2025-06-08,Bowling Green,8202,7940
2025-06-08,West 4 St-Wash Sq,7455,6874
2025-06-08,Astor Pl,7186,5708
2025-06-09,Times Sq-42 St,19619,19730
2025-06-09,Grand Central-42 St,15201,14168
2025-06-09,34 St-Penn Station,13280,13140
2025-06-09,14 St-Union Sq,8123,7098
2025-06-09,Fulton St,15585,14797
2025-06-09,42 St-Port Authority,11895,11970
2025-06-09,Herald Sq-34 St,14213,13353
2025-06-09,Canal St,5791,5955
2025-06-09,59 St-Columbus Circle,4696,5833
2025-06-09,125 St,8502,7567
2025-06-09,96 St,17363,18817
2025-06-09,86 St,20618,20207
2025-06-09,72 St,11871,12667
2025-06-09,66 St-Lincoln Center,16894,17761
2025-06-09,50 St,18783,17796
2025-06-09,28 St,14842,13928
2025-06-09,23 St,10752,10669
2025-06-09,Christopher St,15771,16692
2025-06-09,Houston St,20730,20863
2025-06-09,Spring St,11507,10713
2025-06-09,Chambers St,18406,17988
2025-06-09,Wall St,8827,9756
2025-06-09,Bowling Green,5314,6079
2025-06-09,West 4 St-Wash Sq,5896,6563
2025-06-09,Astor Pl,9535,9149
2025-06-10,Times Sq-42 St,15919,15071
2025-06-10,Grand Central-42 St,14898,15782
2025-06-10,34 St-Penn Station,15418,16966
2025-06-10,14 St-Union Sq,6500,6428
2025-06-10,Fulton St,15602,14547
2025-06-10,42 St-Port Authority,13484,13372
2025-06-10,Herald Sq-34 St,17080,15915
2025-06-10,Canal St,7894,6315
2025-06-10,59 St-Columbus Circle,5901,5568
2025-06-10,125 St,6182,5200
2025-06-10,96 St,17004,17457
2025-06-10,86 St,17674,18559
2025-06-10,72 St,13138,14831
2025-06-10,66 St-Lincoln Center,14814,14396
2025-06-10,50 St,17901,18387
2025-06-10,28 St,12176,11765
2025-06-10,23 St,10074,9649
2025-06-10,Christopher St,15624,14587
2025-06-10,Houston St,17208,16281
2025-06-10,Spring St,14039,14347
2025-06-10,Chambers St,17519,16191
2025-06-10,Wall St,12326,12847
2025-06-10,Bowling Green,10807,10071
2025-06-10,West 4 St-Wash Sq,8683,8187
2025-06-10,Astor Pl,10389,9366
2025-06-11,Times Sq-42 St,17620,17334
2025-06-11,Grand Central-42 St,15455,16149
2025-06-11,34 St-Penn Station,12073,12629
2025-06-11,14 St-Union Sq,4707,4322
2025-06-11,Fulton St,27279,25597
2025-06-11,42 St-Port Authority,11251,12446
2025-06-11,Herald Sq-34 St,14010,13964
2025-06-11,Canal St,5379,5654
2025-06-11,59 St-Columbus Circle,7296,9144
2025-06-11,125 St,7998,8536
2025-06-11,96 St,16036,16320
2025-06-11,86 St,19171,18411
2025-06-11,72 St,12822,13112
2025-06-11,66 St-Lincoln Center,11639,12224
2025-06-11,50 St,16118,17277
2025-06-11,28 St,10604,10632
2025-06-11,23 St,11138,10236
2025-06-11,Christopher St,14992,14683
2025-06-11,Houston St,20023,19804
2025-06-11,Spring St,12812,12993
2025-06-11,Chambers St,17188,16958
2025-06-11,Wall St,8442,8383
2025-06-11,Bowling Green,8237,7924
2025-06-11,West 4 St-Wash Sq,7248,7564
2025-06-11,Astor Pl,8336,8821
2025-06-12,Times Sq-42 St,15890,15928
2025-06-12,Grand Central-42 St,19128,18638
2025-06-12,34 St-Penn Station,12832,12815
2025-06-12,14 St-Union Sq,7582,6365
2025-06-12,Fulton St,18144,17029
2025-06-12,42 St-Port Authority,14278,14164
2025-06-12,Herald Sq-34 St,14314,14756
2025-06-12,Canal St,3905,4055
2025-06-12,59 St-Columbus Circle,5982,5327
2025-06-12,125 St,9400,9645
2025-06-12,96 St,17920,17027
2025-06-12,86 St,19789,18871
2025-06-12,72 St,13126,11812
2025-06-12,66 St-Lincoln Center,12831,12820
2025-06-12,50 St,18572,17955
2025-06-12,28 St,14819,14285
2025-06-12,23 St,9571,11180
2025-06-12,Christopher St,15759,15198
2025-06-12,Houston St,16553,17605
2025-06-12,Spring St,8704,9327
2025-06-12,Chambers St,17102,18598
2025-06-12,Wall St,10218,9767
2025-06-12,Bowling Green,7184,7878
2025-06-12,West 4 St-Wash Sq,6805,5806
2025-06-12,Astor Pl,8054,7485
2025-06-13,Times Sq-42 St,15020,15067
2025-06-13,Grand Central-42 St,16596,15455
2025-06-13,34 St-Penn Station,15497,14683
2025-06-13,14 St-Union Sq,4078,2727
2025-06-13,Fulton St,19730,18341
2025-06-13,42 St-Port Authority,13230,13425
2025-06-13,Herald Sq-34 St,16956,15463
2025-06-13,Canal St,5861,5343
2025-06-13,59 St-Columbus Circle,6614,6588
2025-06-13,125 St,7573,8861
2025-06-13,96 St,15472,15502
2025-06-13,86 St,18119,18528
2025-06-13,72 St,9073,9549
2025-06-13,66 St-Lincoln Center,25750,26562
2025-06-13,50 St,18370,17427
2025-06-13,28 St,13250,12275
2025-06-13,23 St,6672,6704
2025-06-13,Christopher St,15135,15420
2025-06-13,Houston St,16821,16044
2025-06-13,Spring St,12152,13570
2025-06-13,Chambers St,16756,16372
2025-06-13,Wall St,12208,11768
2025-06-13,Bowling Green,8768,8597
2025-06-13,West 4 St-Wash Sq,8043,8072
2025-06-13,Astor Pl,7599,7871
2025-06-14,Times Sq-42 St,15152,15175
2025-06-14,Grand Central-42 St,17183,17615
2025-06-14,34 St-Penn Station,14690,13970
2025-06-14,14 St-Union Sq,6604,7516
2025-06-14,Fulton St,13787,14338
2025-06-14,42 St-Port Authority,12614,11547
2025-06-14,Herald Sq-34 St,16843,14921
2025-06-14,Canal St,7854,7474
2025-06-14,59 St-Columbus Circle,9948,9158
2025-06-14,125 St,9027,8566
2025-06-14,96 St,18871,19780
2025-06-14,86 St,18168,18148
2025-06-14,72 St,13575,14645
2025-06-14,66 St-Lincoln Center,15029,14648
2025-06-14,50 St,19818,19795
2025-06-14,28 St,11808,12465
2025-06-14,23 St,8061,9313
2025-06-14,Christopher St,15992,14324
2025-06-14,Houston St,19908,19206
2025-06-14,Spring St,10512,10089
2025-06-14,Chambers St,17494,17870
2025-06-14,Wall St,8469,9815
2025-06-14,Bowling Green,9899,8038
2025-06-14,West 4 St-Wash Sq,4236,3409
2025-06-14,Astor Pl,6600,6547
2025-06-15,Times Sq-42 St,15308,16515
2025-06-15,Grand Central-42 St,15358,14933
2025-06-15,34 St-Penn Station,15282,16376
2025-06-15,14 St-Union Sq,4572,3927
2025-06-15,Fulton St,18213,18675
2025-06-15,42 St-Port Authority,13029,12863
2025-06-15,Herald Sq-34 St,13335,13384
2025-06-15,Canal St,4077,3022
2025-06-15,59 St-Columbus Circle,7099,6026
2025-06-15,125 St,9241,8414
2025-06-15,96 St,17930,19048
2025-06-15,86 St,17314,18419
2025-06-15,72 St,9824,9836
2025-06-15,66 St-Lincoln Center,17447,17251
2025-06-15,50 St,19034,19050
2025-06-15,28 St,12113,12080
2025-06-15,23 St,7973,8749
2025-06-15,Christopher St,11164,11335
2025-06-15,Houston St,17917,16819
2025-06-15,Spring St,13123,13213
2025-06-15,Chambers St,17527,17690
2025-06-15,Wall St,7258,6436
2025-06-15,Bowling Green,9671,8161
2025-06-15,West 4 St-Wash Sq,6470,8029
2025-06-15,Astor Pl,9416,9690
2025-06-16,Times Sq-42 St,18520,19271
2025-06-16,Grand Central-42 St,17149,16663
2025-06-16,34 St-Penn Station,14054,13203
2025-06-16,14 St-Union Sq,6588,7611
2025-06-16,Fulton St,17737,18592
2025-06-16,42 St-Port Authority,11954,11981
2025-06-16,Herald Sq-34 St,16598,16120
2025-06-16,Canal St,5097,5818
2025-06-16,59 St-Columbus Circle,7039,6378
2025-06-16,125 St,8722,7242
2025-06-16,96 St,15639,15883
2025-06-16,86 St,18448,18754
2025-06-16,72 St,13304,11999
2025-06-16,66 St-Lincoln Center,14351,14330
2025-06-16,50 St,20786,19319
2025-06-16,28 St,13481,13658
2025-06-16,23 St,5534,6096
2025-06-16,Christopher St,13915,14212
2025-06-16,Houston St,15024,15215
2025-06-16,Spring St,10065,11217
2025-06-16,Chambers St,15579,16315
2025-06-16,Wall St,9280,8651
2025-06-16,Bowling Green,4761,4689
2025-06-16,West 4 St-Wash Sq,5114,4796
2025-06-16,Astor Pl,6117,4921
2025-06-17,Times Sq-42 St,15085,14803
2025-06-17,Grand Central-42 St,19285,18215
2025-06-17,34 St-Penn Station,13402,13856
2025-06-17,14 St-Union Sq,5373,4954
2025-06-17,Fulton St,15537,15388
2025-06-17,42 St-Port Authority,19747,20002
2025-06-17,Herald Sq-34 St,11825,12499
2025-06-17,Canal St,6127,5609
2025-06-17,59 St-Columbus Circle,6768,6918
2025-06-17,125 St,9473,9649
2025-06-17,96 St,17057,17292
2025-06-17,86 St,18450,18711
2025-06-17,72 St,11322,12800
2025-06-17,66 St-Lincoln Center,13759,13907
2025-06-17,50 St,19454,18695
2025-06-17,28 St,14204,14121
2025-06-17,23 St,9821,10824
2025-06-17,Christopher St,12563,11640
2025-06-17,Houston St,18426,20387
2025-06-17,Spring St,10437,10449
2025-06-17,Chambers St,16809,17606
2025-06-17,Wall St,9102,9687
2025-06-17,Bowling Green,8353,8631
2025-06-17,West 4 St-Wash Sq,6895,6490
2025-06-17,Astor Pl,6463,6210
2025-06-18,Times Sq-42 St,17099,16852
2025-06-18,Grand Central-42 St,17167,18289
2025-06-18,34 St-Penn Station,14215,14642
2025-06-18,14 St-Union Sq,5006,5418
2025-06-18,Fulton St,18364,17910
2025-06-18,42 St-Port Authority,11143,11544
2025-06-18,Herald Sq-34 St,14216,14028
2025-06-18,Canal St,8243,8875
2025-06-18,59 St-Columbus Circle,8279,6707
2025-06-18,125 St,11258,10569
2025-06-18,96 St,19958,19279
2025-06-18,86 St,19832,20104
2025-06-18,72 St,16176,15234
2025-06-18,66 St-Lincoln Center,13525,12073
2025-06-18,50 St,21015,19909
2025-06-18,28 St,13129,12114
2025-06-18,23 St,8810,9122
2025-06-18,Christopher St,16026,14803
2025-06-18,Houston St,17200,16876
2025-06-18,Spring St,9982,10232
2025-06-18,Chambers St,19055,19667
2025-06-18,Wall St,7527,6993
2025-06-18,Bowling Green,4321,4143
2025-06-18,West 4 St-Wash Sq,7072,7646
2025-06-18,Astor Pl,7804,8793
2025-06-19,Times Sq-42 St,15391,14456
2025-06-19,Grand Central-42 St,14890,16549
2025-06-19,34 St-Penn Station,13162,12598
2025-06-19,14 St-Union Sq,3717,5203
2025-06-19,Fulton St,15651,16593
2025-06-19,42 St-Port Authority,14479,15647
2025-06-19,Herald Sq-34 St,22599,20762
2025-06-19,Canal St,7160,7907
2025-06-19,59 St-Columbus Circle,8018,8312
2025-06-19,125 St,8116,8086
2025-06-19,96 St,18050,16901
2025-06-19,86 St,19856,18239
2025-06-19,72 St,8922,8741
2025-06-19,66 St-Lincoln Center,15035,14960
2025-06-19,50 St,16314,16331
2025-06-19,28 St,10804,12024
2025-06-19,23 St,10799,10613
2025-06-19,Christopher St,11519,11462
2025-06-19,Houston St,16641,16459
2025-06-19,Spring St,10794,10357
2025-06-19,Chambers St,16261,15952
2025-06-19,Wall St,8591,9170
2025-06-19,Bowling Green,8609,7569
2025-06-19,West 4 St-Wash Sq,8568,8757
2025-06-19,Astor Pl,8845,8687
2025-06-20,Times Sq-42 St,15699,14580
2025-06-20,Grand Central-42 St,15493,14467
2025-06-20,34 St-Penn Station,13614,14196
2025-06-20,14 St-Union Sq,5980,5861
2025-06-20,Fulton St,16642,16691
2025-06-20,42 St-Port Authority,10742,10630
2025-06-20,Herald Sq-34 St,11796,12283
2025-06-20,Canal St,8567,7172
2025-06-20,59 St-Columbus Circle,10150,9092
2025-06-20,125 St,9825,9555
2025-06-20,96 St,15962,16477
2025-06-20,86 St,17701,18045
2025-06-20,72 St,8938,8743
2025-06-20,66 St-Lincoln Center,21705,22645
2025-06-20,50 St,19878,19230
2025-06-20,28 St,11400,11066
2025-06-20,23 St,7806,9477
2025-06-20,Christopher St,13579,14688
2025-06-20,Houston St,15666,15667
2025-06-20,Spring St,9511,9281
2025-06-20,Chambers St,16722,15700
2025-06-20,Wall St,9763,8469
2025-06-20,Bowling Green,5440,5374
2025-06-20,West 4 St-Wash Sq,3890,4159
2025-06-20,Astor Pl,7687,6463
2025-06-21,Times Sq-42 St,15062,16324
2025-06-21,Grand Central-42 St,19137,18290
2025-06-21,34 St-Penn Station,13271,13936
2025-06-21,14 St-Union Sq,8794,7484
2025-06-21,Fulton St,15077,15936
2025-06-21,42 St-Port Authority,15260,15088
2025-06-21,Herald Sq-34 St,16470,16309
2025-06-21,Canal St,5087,5038
2025-06-21,59 St-Columbus Circle,7300,8506
2025-06-21,125 St,7498,6423
2025-06-21,96 St,20442,20071
2025-06-21,86 St,15492,15510
2025-06-21,72 St,13614,13595
2025-06-21,66 St-Lincoln Center,14491,15211
2025-06-21,50 St,18698,18769
2025-06-21,28 St,18293,16470
2025-06-21,23 St,9341,7547
2025-06-21,Christopher St,14129,13300
2025-06-21,Houston St,18864,18670
2025-06-21,Spring St,12134,10980
2025-06-21,Chambers St,15092,15332
2025-06-21,Wall St,8091,7932
2025-06-21,Bowling Green,10461,10341
2025-06-21,West 4 St-Wash Sq,2435,4134
2025-06-21,Astor Pl,5875,6394
2025-06-22,Times Sq-42 St,19114,18135
2025-06-22,Grand Central-42 St,15947,15135
2025-06-22,34 St-Penn Station,12921,14339
2025-06-22,14 St-Union Sq,5065,4917
2025-06-22,Fulton St,17572,17375
2025-06-22,42 St-Port Authority,13034,12813
2025-06-22,Herald Sq-34 St,11602,11427
2025-06-22,Canal St,7628,7057
2025-06-22,59 St-Columbus Circle,5826,6829
2025-06-22,125 St,10177,9855
2025-06-22,96 St,18976,19426
2025-06-22,86 St,17445,17890
2025-06-22,72 St,11296,11297
2025-06-22,66 St-Lincoln Center,16475,15773
2025-06-22,50 St,20703,20441
2025-06-22,28 St,14752,14958
2025-06-22,23 St,8386,6865
2025-06-22,Christopher St,24993,24438
2025-06-22,Houston St,14458,15074
2025-06-22,Spring St,11084,12071
2025-06-22,Chambers St,18855,17498
2025-06-22,Wall St,11148,10864
2025-06-22,Bowling Green,9554,10341
2025-06-22,West 4 St-Wash Sq,5988,6441
2025-06-22,Astor Pl,7650,8163
2025-06-23,Times Sq-42 St,19667,19895
2025-06-23,Grand Central-42 St,17200,16982
2025-06-23,34 St-Penn Station,13047,12593
2025-06-23,14 St-Union Sq,8612,8837
2025-06-23,Fulton St,14857,16576
2025-06-23,42 St-Port Authority,11201,11190
2025-06-23,Herald Sq-34 St,16393,14698
2025-06-23,Canal St,4132,2779
2025-06-23,59 St-Columbus Circle,7554,7799
2025-06-23,125 St,6027,6681
2025-06-23,96 St,16555,17930
2025-06-23,86 St,20281,19470
2025-06-23,72 St,12109,12463
2025-06-23,66 St-Lincoln Center,25038,24931
2025-06-23,50 St,28231,28189
2025-06-23,28 St,11057,10885
2025-06-23,23 St,9752,9121
2025-06-23,Christopher St,14143,14481
2025-06-23,Houston St,20161,19545
2025-06-23,Spring St,10172,9336
2025-06-23,Chambers St,17542,18728
2025-06-23,Wall St,10274,10331
2025-06-23,Bowling Green,8167,9091
2025-06-23,West 4 St-Wash Sq,10051,10887
2025-06-23,Astor Pl,6475,4932
2025-06-24,Times Sq-42 St,19086,18604
2025-06-24,Grand Central-42 St,18205,18959
2025-06-24,34 St-Penn Station,16580,15213
2025-06-24,14 St-Union Sq,5149,5815
2025-06-24,Fulton St,19432,17490
2025-06-24,42 St-Port Authority,12998,13349
2025-06-24,Herald Sq-34 St,15087,13864
2025-06-24,Canal St,6373,4889
2025-06-24,59 St-Columbus Circle,9047,8940
2025-06-24,125 St,5520,6633
2025-06-24,96 St,18666,19226
2025-06-24,86 St,30249,30853
2025-06-24,72 St,9703,8571
2025-06-24,66 St-Lincoln Center,14318,13582
2025-06-24,50 St,18409,18242
2025-06-24,28 St,13745,12678
2025-06-24,23 St,8738,9285
2025-06-24,Christopher St,15798,15837
2025-06-24,Houston St,15035,15923
2025-06-24,Spring St,9836,8537
2025-06-24,Chambers St,19241,19126
2025-06-24,Wall St,9733,9482
2025-06-24,Bowling Green,8769,9396
2025-06-24,West 4 St-Wash Sq,7604,7662
2025-06-24,Astor Pl,6571,7645
2025-06-25,Times Sq-42 St,16958,18499
2025-06-25,Grand Central-42 St,14022,15607
2025-06-25,34 St-Penn Station,17245,17699
2025-06-25,14 St-Union Sq,3167,3745
2025-06-25,Fulton St,17577,17250
2025-06-25,42 St-Port Authority,13285,13589
2025-06-25,Herald Sq-34 St,14614,14216
2025-06-25,Canal St,5485,4796
2025-06-25,59 St-Columbus Circle,6481,7033
2025-06-25,125 St,5396,6687
2025-06-25,96 St,17660,15771
2025-06-25,86 St,19247,17984
2025-06-25,72 St,9604,9150
2025-06-25,66 St-Lincoln Center,14972,15407
2025-06-25,50 St,17985,16609
2025-06-25,28 St,12425,13635
2025-06-25,23 St,9342,10621
2025-06-25,Christopher St,15366,15842
2025-06-25,Houston St,19593,19660
2025-06-25,Spring St,12007,12421
2025-06-25,Chambers St,19714,18275
2025-06-25,Wall St,9451,9433
2025-06-25,Bowling Green,7036,7621
2025-06-25,West 4 St-Wash Sq,6212,6313
2025-06-25,Astor Pl,9186,10373
2025-06-26,Times Sq-42 St,18824,19145
2025-06-26,Grand Central-42 St,16927,17786
2025-06-26,34 St-Penn Station,13400,13147
2025-06-26,14 St-Union Sq,4201,2820
2025-06-26,Fulton St,20159,20149
2025-06-26,42 St-Port Authority,13200,14062
2025-06-26,Herald Sq-34 St,13717,13408
2025-06-26,Canal St,7073,7316
2025-06-26,59 St-Columbus Circle,6908,6232
2025-06-26,125 St,9436,8623
2025-06-26,96 St,15591,15608
2025-06-26,86 St,16245,15138
2025-06-26,72 St,7769,7984
2025-06-26,66 St-Lincoln Center,16484,16295
2025-06-26,50 St,18629,18980
2025-06-26,28 St,13002,13558
2025-06-26,23 St,6822,6506
2025-06-26,Christopher St,14915,14140
2025-06-26,Houston St,19610,18933
2025-06-26,Spring St,10728,10800
2025-06-26,Chambers St,15897,15287
2025-06-26,Wall St,8541,8358
2025-06-26,Bowling Green,7342,7492
2025-06-26,West 4 St-Wash Sq,5491,4688
2025-06-26,Astor Pl,10497,10749
2025-06-27,Times Sq-42 St,18725,17872
2025-06-27,Grand Central-42 St,14247,14941
2025-06-27,34 St-Penn Station,15016,15222
2025-06-27,14 St-Union Sq,2335,2444
2025-06-27,Fulton St,17212,15668
2025-06-27,42 St-Port Authority,13505,15058
2025-06-27,Herald Sq-34 St,15792,14123
2025-06-27,Canal St,5635,4507
2025-06-27,59 St-Columbus Circle,7855,7042
2025-06-27,125 St,5531,6673
2025-06-27,96 St,24346,26940
2025-06-27,86 St,16509,17063
2025-06-27,72 St,9095,8071
2025-06-27,66 St-Lincoln Center,14459,14046
2025-06-27,50 St,18975,19039
2025-06-27,28 St,18381,19320
2025-06-27,23 St,7852,7557
2025-06-27,Christopher St,12811,13145
2025-06-27,Houston St,14864,15333
2025-06-27,Spring St,11824,10487
2025-06-27,Chambers St,17703,17693
2025-06-27,Wall St,8403,8614
2025-06-27,Bowling Green,6071,6495
2025-06-27,West 4 St-Wash Sq,7307,5759
2025-06-27,Astor Pl,10258,10484
2025-06-28,Times Sq-42 St,17787,16871
2025-06-28,Grand Central-42 St,18139,19027
2025-06-28,34 St-Penn Station,16381,17289
2025-06-28,14 St-Union Sq,5654,6138
2025-06-28,Fulton St,17411,17333
2025-06-28,42 St-Port Authority,12211,13708
2025-06-28,Herald Sq-34 St,12083,13105
2025-06-28,Canal St,7373,6941
2025-06-28,59 St-Columbus Circle,9773,8683
2025-06-28,125 St,10002,9821
2025-06-28,96 St,17526,18054
2025-06-28,86 St,14819,16021
2025-06-28,72 St,11121,10807
2025-06-28,66 St-Lincoln Center,13315,13136
2025-06-28,50 St,21377,20622
2025-06-28,28 St,10547,11545
2025-06-28,23 St,8620,8760
2025-06-28,Christopher St,15588,15579
2025-06-28,Houston St,19798,19862
